run, id, cycles, Branch direction mis, Branch target mis, Correct

24, 0, 388466, 329, 58, TRUE

24, 1, 74651, 318, 52, TRUE

24, 2, 74911, 315, 46, TRUE

24, 3, 77309, 313, 45, TRUE

24, 4, 74901, 313, 44, TRUE

24, 5, 74620, 313, 45, TRUE

24, 6, 74901, 313, 44, TRUE

24, 7, 77309, 313, 45, TRUE

24, 8, 74901, 313, 44, TRUE

24, 9, 74620, 313, 45, TRUE

24, 10, 74901, 313, 44, TRUE

24, 11, 77309, 313, 45, TRUE

24, 12, 74901, 313, 44, TRUE

24, 13, 74620, 313, 45, TRUE

24, 14, 74901, 313, 44, TRUE

24, 15, 77309, 313, 45, TRUE

24, 16, 74901, 313, 44, TRUE

24, 17, 74620, 313, 45, TRUE

24, 18, 74901, 313, 44, TRUE

24, 19, 77309, 313, 45, TRUE

25, 0, 388457, 329, 55, TRUE

25, 1, 74651, 318, 52, TRUE

25, 2, 74911, 315, 46, TRUE

25, 3, 77309, 313, 45, TRUE

25, 4, 74901, 313, 44, TRUE

25, 5, 74620, 313, 45, TRUE

25, 6, 74901, 313, 44, TRUE

25, 7, 77309, 313, 45, TRUE

25, 8, 74901, 313, 44, TRUE

25, 9, 74620, 313, 45, TRUE

25, 10, 74901, 313, 44, TRUE

25, 11, 77309, 313, 45, TRUE

25, 12, 74901, 313, 44, TRUE

25, 13, 74620, 313, 45, TRUE

25, 14, 74901, 313, 44, TRUE

25, 15, 77309, 313, 45, TRUE

25, 16, 74901, 313, 44, TRUE

25, 17, 74620, 313, 45, TRUE

25, 18, 74901, 313, 44, TRUE

25, 19, 77309, 313, 45, TRUE

26, 0, 388464, 328, 58, TRUE

26, 1, 74657, 320, 52, TRUE

26, 2, 74911, 315, 46, TRUE

26, 3, 77309, 313, 45, TRUE

26, 4, 74901, 313, 44, TRUE

26, 5, 74620, 313, 45, TRUE

26, 6, 74901, 313, 44, TRUE

26, 7, 77309, 313, 45, TRUE

26, 8, 74901, 313, 44, TRUE

26, 9, 74620, 313, 45, TRUE

26, 10, 74901, 313, 44, TRUE

26, 11, 77309, 313, 45, TRUE

26, 12, 74901, 313, 44, TRUE

26, 13, 74620, 313, 45, TRUE

26, 14, 74901, 313, 44, TRUE

26, 15, 77309, 313, 45, TRUE

