run, id, cycles, Branch predicistion mis, Branch target mis, Correct
36, 1, 92634, 632, 26, true

36, 2, 92609, 623, 26, true

36, 3, 92604, 624, 28, true

36, 4, 92594, 620, 28, true

36, 5, 92595, 620, 29, true

36, 6, 92594, 620, 28, true

36, 7, 92595, 620, 29, true

36, 8, 92594, 620, 28, true

36, 9, 92595, 620, 29, true

36, 10, 92594, 620, 28, true

36, 11, 92595, 620, 29, true

36, 12, 92594, 620, 28, true

36, 13, 92595, 620, 29, true

36, 14, 92594, 620, 28, true

36, 15, 92595, 620, 29, true

36, 16, 92594, 620, 28, true

36, 17, 92595, 620, 29, true

36, 18, 92594, 620, 28, true

36, 19, 92595, 620, 29, true

37, 0, 308916, 649, 27, false

37, 1, 92628, 630, 26, false

37, 2, 92609, 623, 26, false

37, 3, 92601, 623, 28, false

37, 4, 92594, 620, 28, false

37, 5, 92603, 620, 28, false

37, 6, 92599, 620, 28, false

37, 7, 92603, 620, 28, false

37, 8, 92599, 620, 28, false

37, 9, 92603, 620, 28, false

37, 10, 92599, 620, 28, false

37, 11, 92603, 620, 28, false

37, 12, 92599, 620, 28, false

37, 13, 92603, 620, 28, false

37, 14, 92599, 620, 28, false

37, 15, 92603, 620, 28, false

37, 16, 92599, 620, 28, false

37, 17, 92603, 620, 28, false

37, 18, 92599, 620, 28, false

37, 19, 92603, 620, 28, false

38, 0, 311316, 646, 28, false

38, 1, 92634, 632, 26, false

38, 2, 92609, 623, 26, false

38, 3, 92601, 623, 28, false

38, 4, 92594, 620, 28, false

38, 5, 92595, 620, 29, false

38, 6, 92594, 620, 28, false

38, 7, 92595, 620, 29, false

38, 8, 92594, 620, 28, false

